Date,Description,Amount,Account
2025-06-01,Payroll Direct Deposit,3500.00,Checking
2025-06-02,Amazon Marketplace,-89.45,Checking
2025-06-03,Starbucks,-6.75,Checking
2025-06-04,Whole Foods,-152.30,Checking
2025-06-05,Uber Trip,-18.60,Checking
2025-06-05,Netflix Subscription,-15.49,Checking
2025-06-10,Shell Gas,-42.11,Checking
2025-06-15,Apartment Rent,-1650.00,Checking
2025-07-01,Payroll Direct Deposit,3500.00,Checking
2025-07-02,Trader Joe's,-96.20,Checking
2025-07-03,Target,-124.33,Checking
2025-07-05,Uber Trip,-23.15,Checking
2025-07-05,Netflix Subscription,-15.49,Checking
2025-07-09,Comcast Xfinity,-85.00,Checking
2025-07-15,Apartment Rent,-1650.00,Checking
2025-08-01,Payroll Direct Deposit,3500.00,Checking
2025-08-02,Walmart Grocery,-110.50,Checking
2025-08-03,Amazon Marketplace,-59.99,Checking
2025-08-05,Uber Trip,-21.87,Checking
2025-08-05,Netflix Subscription,-15.49,Checking
2025-08-10,Shell Gas,-38.45,Checking
2025-08-15,Apartment Rent,-1650.00,Checking
